Time,x_rot,y_rot,z_rot,rot_angle,speed,x_pos,z_pos,y_pos
0.0,0,1,0,1.5737,0,120.0,0,-100.0
0.02,0,1,0.0,1.5737,0.0,120.0,0.0,-100.0
0.04,0,1,0.0,1.5737,0.12,120.0,0.0,-100.0
0.06,0,1,0.0,1.5736,0.24,120.01,0.0,-100.0
0.08,0,1,0.0,1.5736,0.36,120.01,0.0,-100.0
0.1,0,1,0.0,1.5735,0.48,120.02,0.0,-100.0
0.12,0,1,0.0,1.5735,0.6,120.04,0.0,-100.0
0.14,0,1,0.0,1.5734,0.72,120.05,0.0,-100.0
0.16,0,1,0.0,1.5733,0.84,120.07,0.0,-100.0
0.18,0,1,0.0,1.5732,0.96,120.09,0.0,-100.0
0.2,0,1,0.0,1.5732,1.08,120.11,0.0,-100.0
0.22,0,1,0.0,1.5731,1.2,120.13,0.0,-100.0
0.24,0,1,0.0,1.573,1.32,120.16,0.0,-100.0
0.26,0,1,0.0,1.5729,1.44,120.19,0.0,-100.0
0.28,0,1,0.0,1.5728,1.56,120.22,0.0,-100.0
0.3,0,1,0.0,1.5727,1.68,120.25,0.0,-100.0
0.32,0,1,0.0,1.5726,1.8,120.29,0.0,-100.0
0.34,0,1,0.0,1.5725,1.92,120.33,0.0,-100.0
0.36,0,1,0.0,1.5724,2.04,120.37,0.0,-100.0
0.38,0,1,0.0,1.5723,2.16,120.41,0.0,-100.0
0.4,0,1,0.0,1.5722,2.28,120.46,0.0,-100.0
0.42,0,1,0.0,1.5721,2.4,120.5,0.0,-100.0
0.44,0,1,0.0,1.5721,2.52,120.55,0.0,-100.0
0.46,0,1,0.0,1.572,2.64,120.61,0.0,-100.0
0.48,0,1,0.0,1.5719,2.76,120.66,0.0,-100.0
0.5,0,1,0.0,1.5718,2.88,120.72,0.0,-100.0
0.52,0,1,0.0,1.5717,3.0,120.78,0.0,-100.0
0.54,0,1,0.0,1.5717,3.12,120.84,0.0,-100.0
0.56,0,1,0.0,1.5716,3.22,120.91,0.0,-100.0
0.58,0,1,0.0,1.5715,3.32,120.97,0.0,-100.0
0.6,0,1,0.0,1.5715,3.42,121.04,0.0,-100.0
0.62,0,1,0.0,1.5714,3.52,121.11,0.0,-100.0
0.64,0,1,0.0,1.5713,3.62,121.18,0.0,-100.0
0.66,0,1,0.0,1.5713,3.72,121.26,0.0,-100.0
0.68,0,1,0.0,1.5712,3.82,121.34,0.0,-100.0
0.7,0,1,0.0,1.5712,3.92,121.41,0.0,-100.0
0.72,0,1,0.0,1.5711,4.02,121.49,0.0,-100.0
0.74,0,1,0.0,1.5711,4.12,121.58,0.0,-100.0
0.76,0,1,0.0,1.571,4.22,121.66,0.0,-100.0
0.78,0,1,0.0,1.571,4.32,121.75,0.0,-100.0
0.8,0,1,0.0,1.571,4.42,121.84,0.0,-100.0
0.82,0,1,0.0,1.5709,4.52,121.93,0.0,-100.0
0.84,0,1,0.0,1.5709,4.62,122.02,0.0,-100.0
0.86,0,1,0.0,1.5709,4.72,122.11,0.0,-100.0
0.88,0,1,0.0,1.5708,4.82,122.21,0.0,-100.0
0.9,0,1,0.0,1.5708,4.92,122.31,0.0,-100.0
0.92,0,1,0.0,1.5708,5.02,122.41,0.0,-100.0
0.94,0,1,0.0,1.5707,5.12,122.51,0.0,-100.0
0.96,0,1,0.0,1.5707,5.22,122.61,0.0,-100.0
0.98,0,1,0.0,1.5707,5.32,122.72,0.0,-100.0
1.0,0,1,0.0,1.5707,5.42,122.83,0.0,-100.0
1.02,0,1,0.0,1.5707,5.52,122.94,0.0,-100.0
1.04,0,1,0.0,1.5707,5.62,123.05,0.0,-100.0
1.06,0,1,0.0,1.5706,5.72,123.17,0.0,-100.0
1.08,0,1,0.0,1.5706,5.82,123.28,0.0,-100.0
1.1,0,1,0.0,1.5706,5.92,123.4,0.0,-100.0
1.12,0,1,0.0,1.5706,6.02,123.52,0.0,-100.0
1.14,0,1,0.0,1.5706,6.12,123.64,0.0,-100.0
1.16,0,1,0.0,1.5706,6.196,123.77,0.0,-100.0
1.18,0,1,0.0,1.5706,6.272,123.89,0.0,-100.0
1.2,0,1,0.0,1.5706,6.348,124.02,0.0,-100.0
1.22,0,1,0.0,1.5706,6.424,124.15,0.0,-100.0
1.24,0,1,0.0,1.5706,6.5,124.28,0.0,-100.0
1.26,0,1,0.0,1.5706,6.576,124.41,0.0,-100.0
1.28,0,1,0.0,1.5706,6.652,124.54,0.0,-100.0
1.3,0,1,0.0,1.5706,6.728,124.68,0.0,-100.0
1.32,0,1,0.0,1.5706,6.804,124.81,0.0,-100.0
1.34,0,1,0.0,1.5706,6.88,124.95,0.0,-100.0
